title_name;title_id;runtime;release_day;release_month;release_year;worldwide_gross;domestic_gross;foreign_gross;opening_gross;budget;age_rating;genre_drama;genre_comedy;genre_thriller;genre_action;genre_adventure;genre_romance;genre_crime;genre_fantasy;genre_family;genre_scifi;genre_mystery;genre_horror;genre_other;language_english;language_spanish;language_french;language_other;weekday_friday;weekday_wednesday;weekday_thursday;weekday_other;roi;tickets_sold
transformers revenge of the fallen;tt1055369;149;19;6;2009;836303693;402111870;434191823;108966307;200000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;True;False;False;True;False;False;False;3.181518465;53614916
inception;tt1375666;148;15;7;2010;829895144;292576195;537318949;62785337;160000000;3;False;False;True;True;True;False;False;False;False;True;False;False;False;True;False;True;True;False;False;True;False;4.18684465;37081900
the twilight saga breaking dawn  part 2;tt1673434;115;14;11;2012;829746820;292324737;537422083;141067634;120000000;3;True;False;False;False;True;True;False;True;False;False;False;False;False;True;False;False;False;False;True;False;False;5.914556833333333;36724213
spiderman;tt0145487;121;3;5;2002;825025036;407022860;418002176;114844116;139000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;4.935431913669064;70055569
wonder woman;tt0451279;141;30;5;2017;821847012;412563408;409283604;103251471;149000000;3;False;False;False;True;True;False;False;True;False;True;False;False;True;True;True;True;True;False;False;False;True;4.5157517583892615;45993690
fantastic beasts and where to find them;tt3183660;132;16;11;2016;814037575;234037575;580000000;74403387;180000000;3;False;False;False;False;True;False;False;True;True;False;False;False;False;True;False;False;True;False;True;False;False;3.5224309722222222;27056367
shrek the third;tt0413267;93;17;5;2007;813367380;322719944;490647436;121629270;160000000;2;False;True;False;False;True;False;False;True;True;False;False;False;True;True;False;False;False;False;False;True;False;4.083546125;46906968
coco;tt2380307;105;27;10;2017;807082196;209726015;597356181;50802605;175000000;2;False;False;False;False;True;False;False;True;True;False;True;False;True;True;True;False;False;True;False;False;False;3.6118982628571428;23380826
harry potter and the prisoner of azkaban;tt0304141;142;31;5;2004;796093802;249975996;546117805;93687367;130000000;2;False;False;False;False;True;False;False;True;True;False;True;False;False;True;False;False;False;False;False;False;True;5.123798476923077;40253783
pirates of the caribbean dead men tell no tales;tt1790809;129;24;5;2017;794861794;172558876;622302918;62983253;230000000;3;False;False;False;True;True;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False;2.455920843478261;19237332
jumanji the next level;tt7975244;123;4;12;2019;793114050;315971726;477142324;59251543;125000000;3;False;True;False;True;True;False;False;True;False;False;False;False;False;True;False;False;False;False;True;False;False;5.3449124;34684053
2012;tt1190080;158;11;11;2009;791217826;166112167;625105659;65237614;200000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;True;True;True;False;True;False;False;2.95608913;22148288
mission impossible  fallout;tt4912910;147;25;7;2018;791115104;220159104;570956000;61236534;178000000;3;False;False;True;True;True;False;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;3.4444668764044946;24166751
indiana jones and the kingdom of the crystal skull;tt0367882;122;21;5;2008;790653942;317101119;473552823;100137835;185000000;3;False;False;False;True;True;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;3.2738050918918917;44164501
spiderman 2;tt0316654;127;30;6;2004;788976453;373585825;415390628;88156227;200000000;3;False;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;True;False;True;False;False;2.944882265;60158747
